performance_country,composer,composer_nationality,gender,work,performances
Croatia,Gotovac,Croatia,m,Ero the Joker,10
Croatia,Gotovac,Croatia,m,Ero the Joker,5
Croatia,Gotovac,Croatia,m,Ero the Joker,2
Croatia,Gotovac,Croatia,m,Ero the Joker,2
Croatia,Gotovac,Croatia,m,Ero the Joker,4
Croatia,Gotovac,Croatia,m,Ero the Joker,9
Croatia,Gotovac,Croatia,m,Ero the Joker,2
Croatia,Gotovac,Croatia,m,Ero the Joker,3
Croatia,Gotovac,Croatia,m,Ero the Joker,2
Croatia,Gotovac,Croatia,m,Ero the Joker,1
Croatia,Gotovac,Croatia,m,Ero the Joker,7
Croatia,Gotovac,Croatia,m,Ero the Joker,4
Croatia,Gotovac,Croatia,m,Ero the Joker,1
Croatia,Gotovac,Croatia,m,Ero the Joker,6
Croatia,Gotovac,Croatia,m,Ero the Joker,3
Serbia,Gotovac,Croatia,m,Ero the Joker,5
Norway,Gough,United Kingdom,m,Voices,2
United Kingdom,Gough,United Kingdom,m,Imago,3
United Kingdom,Gough,United Kingdom,m,Road Rage,3
Argentina,Gounod,France,m,Faust,4
Argentina,Gounod,France,m,Romeo et Juliette,5
Australia,Gounod,France,m,Faust,4
Australia,Gounod,France,m,Faust,8
Australia,Gounod,France,m,Faust,5
Austria,Gounod,France,m,Cinq-Mars,1
Austria,Gounod,France,m,Faust,3
Austria,Gounod,France,m,Faust,12
Austria,Gounod,France,m,Faust,6
Austria,Gounod,France,m,Faust,3
Austria,Gounod,France,m,Faust,3
Austria,Gounod,France,m,Romeo et Juliette,3
Austria,Gounod,France,m,Romeo et Juliette,3
Austria,Gounod,France,m,Romeo et Juliette,11
Austria,Gounod,France,m,Romeo et Juliette,4
Belgium,Gounod,France,m,Romeo et Juliette,3
Belgium,Gounod,France,m,Romeo et Juliette,5
Brazil,Gounod,France,m,Romeo et Juliette,5
Bulgaria,Gounod,France,m,Faust,2
Canada,Gounod,France,m,Romeo et Juliette,4
Chile,Gounod,France,m,Romeo et Juliette,6
China,Gounod,France,m,Romeo et Juliette,5
Croatia,Gounod,France,m,Faust,5
Croatia,Gounod,France,m,Faust,1
Czech Republic,Gounod,France,m,Faust,12
Czech Republic,Gounod,France,m,Faust,4
Czech Republic,Gounod,France,m,Faust,6
Czech Republic,Gounod,France,m,Romeo et Juliette,2
Czech Republic,Gounod,France,m,Romeo et Juliette,1
Czech Republic,Gounod,France,m,Romeo et Juliette,6
Czech Republic,Gounod,France,m,Romeo et Juliette,12
Denmark,Gounod,France,m,Romeo et Juliette,3
Estonia,Gounod,France,m,Faust,11
Estonia,Gounod,France,m,Faust,2
Estonia,Gounod,France,m,Faust,10
Estonia,Gounod,France,m,Faust,6
Estonia,Gounod,France,m,Faust,1
Estonia,Gounod,France,m,Faust,4
Estonia,Gounod,France,m,Faust,4
Estonia,Gounod,France,m,Faust,3
Estonia,Gounod,France,m,Romeo et Juliette,1
Finland,Gounod,France,m,Faust,5
France,Gounod,France,m,Cinq-Mars,1
France,Gounod,France,m,Faust,9
France,Gounod,France,m,Faust,1
France,Gounod,France,m,Faust,4
France,Gounod,France,m,Faust,6
France,Gounod,France,m,Faust,2
France,Gounod,France,m,Faust,1
France,Gounod,France,m,Faust,2
France,Gounod,France,m,Faust,1
France,Gounod,France,m,Faust,1
France,Gounod,France,m,Faust,3
France,Gounod,France,m,La colombe,2
France,Gounod,France,m,La colombe,2
France,Gounod,France,m,La colombe,4
France,Gounod,France,m,La colombe,2
France,Gounod,France,m,Le medecin malgre lui,2
France,Gounod,France,m,Le medecin malgre lui,1
France,Gounod,France,m,Le medecin malgre lui,1
France,Gounod,France,m,Le medecin malgre lui,1
France,Gounod,France,m,Le medecin malgre lui,1
France,Gounod,France,m,Le medecin malgre lui,5
France,Gounod,France,m,Le medecin malgre lui,1
France,Gounod,France,m,Le medecin malgre lui,1
France,Gounod,France,m,Mireille,2
France,Gounod,France,m,Philemon et Baucis,3
France,Gounod,France,m,Romeo et Juliette,2
France,Gounod,France,m,Romeo et Juliette,1
France,Gounod,France,m,Romeo et Juliette,3
France,Gounod,France,m,Romeo et Juliette,1
France,Gounod,France,m,Romeo et Juliette,2
France,Gounod,France,m,Romeo et Juliette,3
France,Gounod,France,m,Romeo et Juliette,2
France,Gounod,France,m,Romeo et Juliette,3
France,Gounod,France,m,Romeo et Juliette,4
Germany,Gounod,France,m,Cinq-Mars,3
Germany,Gounod,France,m,Cinq-Mars,3
Germany,Gounod,France,m,Faust,3
Germany,Gounod,France,m,Faust,5
Germany,Gounod,France,m,Faust,4
Germany,Gounod,France,m,Faust,3
Germany,Gounod,France,m,Faust,5
Germany,Gounod,France,m,Faust,6
Germany,Gounod,France,m,Faust,7
Germany,Gounod,France,m,Faust,12
Germany,Gounod,France,m,Faust,7
Germany,Gounod,France,m,Faust,6
Germany,Gounod,France,m,Faust,5
Germany,Gounod,France,m,Faust,3
Germany,Gounod,France,m,Faust,11
Germany,Gounod,France,m,Faust,4
Germany,Gounod,France,m,Faust,6
Germany,Gounod,France,m,Faust,4
Germany,Gounod,France,m,Faust,7
Germany,Gounod,France,m,Faust,4
Germany,Gounod,France,m,Faust,10
Germany,Gounod,France,m,Faust,9
Germany,Gounod,France,m,Faust,3
Germany,Gounod,France,m,Faust,3
Germany,Gounod,France,m,Faust,9
Germany,Gounod,France,m,Faust,12
Germany,Gounod,France,m,Faust,3
Germany,Gounod,France,m,Faust,1
Germany,Gounod,France,m,Faust,3
Germany,Gounod,France,m,Faust,3
Germany,Gounod,France,m,Faust,8
Germany,Gounod,France,m,Faust,5
Germany,Gounod,France,m,Faust,5
Germany,Gounod,France,m,Faust,9
Germany,Gounod,France,m,Faust,6
Germany,Gounod,France,m,Faust,6
Germany,Gounod,France,m,Faust,11
Germany,Gounod,France,m,Romeo et Juliette,4
Germany,Gounod,France,m,Romeo et Juliette,12
Germany,Gounod,France,m,Romeo et Juliette,4
Germany,Gounod,France,m,Romeo et Juliette,6
Greece,Gounod,France,m,Romeo et Juliette,6
Hong Kong,Gounod,France,m,Faust,3
Hong Kong,Gounod,France,m,Romeo et Juliette,3
Hungary,Gounod,France,m,Faust,7
Hungary,Gounod,France,m,Faust,1
Hungary,Gounod,France,m,Faust,6
Hungary,Gounod,France,m,Faust,6
Hungary,Gounod,France,m,Faust,1
Hungary,Gounod,France,m,Romeo et Juliette,6
Israel,Gounod,France,m,Faust,13
Israel,Gounod,France,m,Romeo et Juliette,11
Italy,Gounod,France,m,Faust,2
Italy,Gounod,France,m,Faust,5
Italy,Gounod,France,m,Faust,4
Italy,Gounod,France,m,Faust,2
Italy,Gounod,France,m,Faust,2
Italy,Gounod,France,m,Faust,2
Italy,Gounod,France,m,La colombe,2
Italy,Gounod,France,m,Romeo et Juliette,2
Italy,Gounod,France,m,Romeo et Juliette,2
Italy,Gounod,France,m,Romeo et Juliette,2
Italy,Gounod,France,m,Romeo et Juliette,1
Italy,Gounod,France,m,Romeo et Juliette,2
Italy,Gounod,France,m,Romeo et Juliette,1
Kazakhstan,Gounod,France,m,Faust,1
Kazakhstan,Gounod,France,m,Faust,1
Latvia,Gounod,France,m,Faust,8
Latvia,Gounod,France,m,Faust,2
Latvia,Gounod,France,m,Faust,8
Lithuania,Gounod,France,m,Faust,2
Lithuania,Gounod,France,m,Faust,3
Lithuania,Gounod,France,m,Faust,1
Lithuania,Gounod,France,m,Faust,5
Lithuania,Gounod,France,m,Faust,4
Lithuania,Gounod,France,m,Faust,4
Macao,Gounod,France,m,Faust,3
Macedonia,Gounod,France,m,Faust,3
Monaco,Gounod,France,m,Faust,4
Monaco,Gounod,France,m,Romeo et Juliette,3
Netherlands,Gounod,France,m,Faust,8
Oman,Gounod,France,m,Romeo et Juliette,3
Peru,Gounod,France,m,Faust,5
Peru,Gounod,France,m,Romeo et Juliette,3
Poland,Gounod,France,m,Faust,6
Poland,Gounod,France,m,Romeo et Juliette,13
Romania,Gounod,France,m,Faust,2
Romania,Gounod,France,m,Faust,1
Romania,Gounod,France,m,Faust,4
Romania,Gounod,France,m,Faust,1
Romania,Gounod,France,m,Faust,2
Romania,Gounod,France,m,Faust,1
Romania,Gounod,France,m,Faust,2
Romania,Gounod,France,m,Faust,1
Romania,Gounod,France,m,Faust,1
Romania,Gounod,France,m,Faust,1
Russia,Gounod,France,m,Faust,11
Russia,Gounod,France,m,Faust,3
Russia,Gounod,France,m,Faust,6
Russia,Gounod,France,m,Faust,1
Russia,Gounod,France,m,Faust,1
Russia,Gounod,France,m,Faust,9
Russia,Gounod,France,m,Faust,4
Russia,Gounod,France,m,Faust,2
Russia,Gounod,France,m,Faust,3
Russia,Gounod,France,m,Faust,1
Russia,Gounod,France,m,Faust,5
Russia,Gounod,France,m,Faust,4
Russia,Gounod,France,m,Faust,2
Russia,Gounod,France,m,Faust,2
Russia,Gounod,France,m,Faust,2
Russia,Gounod,France,m,Faust,1
Russia,Gounod,France,m,Faust,3
Russia,Gounod,France,m,Faust,4
Russia,Gounod,France,m,Faust,12
Russia,Gounod,France,m,Faust,3
Russia,Gounod,France,m,Faust,5
Russia,Gounod,France,m,Faust,4
Russia,Gounod,France,m,Faust,2
Russia,Gounod,France,m,Faust,7
Russia,Gounod,France,m,Faust,2
Russia,Gounod,France,m,Faust,8
Russia,Gounod,France,m,Faust,4
Russia,Gounod,France,m,Faust,3
Russia,Gounod,France,m,Romeo et Juliette,4
Russia,Gounod,France,m,Romeo et Juliette,7
Russia,Gounod,France,m,Romeo et Juliette,4
Russia,Gounod,France,m,Romeo et Juliette,6
Slovakia,Gounod,France,m,Romeo et Juliette,6
Slovakia,Gounod,France,m,Romeo et Juliette,7
South Korea,Gounod,France,m,Romeo et Juliette,2
South Korea,Gounod,France,m,Romeo et Juliette,4
South Korea,Gounod,France,m,Romeo et Juliette,2
South Korea,Gounod,France,m,Romeo et Juliette,4
Spain,Gounod,France,m,Faust,3
Spain,Gounod,France,m,Faust,5
