performance_country,composer,composer_nationality,gender,work,performances
Spain,Gounod,France,m,Faust,2
Spain,Gounod,France,m,Faust,3
Spain,Gounod,France,m,Romeo et Juliette,3
Spain,Gounod,France,m,Romeo et Juliette,8
Spain,Gounod,France,m,Romeo et Juliette,3
Sweden,Gounod,France,m,Faust,11
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,2
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,2
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,6
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Sweden,Gounod,France,m,Romeo et Juliette,1
Switzerland,Gounod,France,m,Faust,9
Switzerland,Gounod,France,m,Faust,4
Switzerland,Gounod,France,m,Faust,7
Switzerland,Gounod,France,m,Faust,5
Switzerland,Gounod,France,m,Faust,8
Switzerland,Gounod,France,m,Le medecin malgre lui,7
Turkey,Gounod,France,m,Faust,11
Turkey,Gounod,France,m,Faust,6
Turkey,Gounod,France,m,Romeo et Juliette,3
Turkey,Gounod,France,m,Romeo et Juliette,1
Ukraine,Gounod,France,m,Faust,1
Ukraine,Gounod,France,m,Faust,4
Ukraine,Gounod,France,m,Faust,1
Ukraine,Gounod,France,m,Faust,4
United Kingdom,Gounod,France,m,Faust,4
United Kingdom,Gounod,France,m,Faust,2
United Kingdom,Gounod,France,m,Faust,2
United Kingdom,Gounod,France,m,Faust,2
United Kingdom,Gounod,France,m,Faust,4
United Kingdom,Gounod,France,m,Faust,7
United Kingdom,Gounod,France,m,Faust,1
United Kingdom,Gounod,France,m,Faust,2
United Kingdom,Gounod,France,m,Faust,3
United Kingdom,Gounod,France,m,La colombe,5
United Kingdom,Gounod,France,m,Polyeucte,4
United Kingdom,Gounod,France,m,Romeo et Juliette,5
United States,Gounod,France,m,Faust,3
United States,Gounod,France,m,Faust,2
United States,Gounod,France,m,Faust,5
United States,Gounod,France,m,Faust,2
United States,Gounod,France,m,Faust,4
United States,Gounod,France,m,Faust,2
United States,Gounod,France,m,Faust,2
United States,Gounod,France,m,Faust,4
United States,Gounod,France,m,Faust,1
