IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,524,COUNTRY,PUBLISHED,Maternal mortality ratio,Nepal,142.0052693,99.35656131,233.6569587
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,528,COUNTRY,PUBLISHED,Maternal mortality ratio,Netherlands (Kingdom of the),4.302753516,2.954540148,6.324277138
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,548,COUNTRY,PUBLISHED,Maternal mortality ratio,Vanuatu,100.0478928,38.06533419,264.6504999
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,554,COUNTRY,PUBLISHED,Maternal mortality ratio,New Zealand,7.0262109,4.499480816,9.257434038
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,558,COUNTRY,PUBLISHED,Maternal mortality ratio,Nicaragua,60.34839587,45.38104404,76.81724418
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,562,COUNTRY,PUBLISHED,Maternal mortality ratio,Niger,350.2683336,227.4447386,562.9579495
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,566,COUNTRY,PUBLISHED,Maternal mortality ratio,Nigeria,992.8292085,718.3332538,1539.814219
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,578,COUNTRY,PUBLISHED,Maternal mortality ratio,Norway,1.308425505,0.680827732,2.290442773
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,583,COUNTRY,PUBLISHED,Maternal mortality ratio,Micronesia (Federated States of),128.7534806,56.26527253,302.3192667
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,584,COUNTRY,PUBLISHED,Maternal mortality ratio,Marshall Islands,154.7892585,71.57259781,348.0167787
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,585,COUNTRY,PUBLISHED,Maternal mortality ratio,Palau,89.41671639,37.59742318,208.8524933
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,586,COUNTRY,PUBLISHED,Maternal mortality ratio,Pakistan,155.0327398,107.3157418,241.1976601
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,591,COUNTRY,PUBLISHED,Maternal mortality ratio,Panama,37.00633347,30.24171183,43.04064433
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,598,COUNTRY,PUBLISHED,Maternal mortality ratio,Papua New Guinea,188.6494966,118.5880719,306.8900482
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,600,COUNTRY,PUBLISHED,Maternal mortality ratio,Paraguay,58.27148719,42.13910812,81.27835585
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,604,COUNTRY,PUBLISHED,Maternal mortality ratio,Peru,51.445451,39.7461085,62.00271468
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,608,COUNTRY,PUBLISHED,Maternal mortality ratio,Philippines,83.75267845,64.02124567,119.2599361
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,616,COUNTRY,PUBLISHED,Maternal mortality ratio,Poland,1.567119645,0.955979683,2.518757445
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,620,COUNTRY,PUBLISHED,Maternal mortality ratio,Portugal,14.94519311,9.345180876,23.55914992
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,624,COUNTRY,PUBLISHED,Maternal mortality ratio,Guinea-Bissau,505.3680331,313.1460582,850.9608317
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,626,COUNTRY,PUBLISHED,Maternal mortality ratio,Timor-Leste,192.3577607,125.2593069,288.4552506
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,630,"ORGANIZED, UNINCORPORATED TERRITORY",PUBLISHED,Maternal mortality ratio,Puerto Rico,11.02503845,7.108855184,19.07373627
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,634,COUNTRY,PUBLISHED,Maternal mortality ratio,Qatar,3.921595137,2.402058693,6.457286279
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,642,COUNTRY,PUBLISHED,Maternal mortality ratio,Romania,11.68034872,7.453884544,18.35613946
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,643,COUNTRY,PUBLISHED,Maternal mortality ratio,Russian Federation,9.402811391,6.210221779,14.54841869
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,646,COUNTRY,PUBLISHED,Maternal mortality ratio,Rwanda,229.4838991,157.5280523,373.2001523
